output_path,true_label_name,nearest_wrong_class_name,plain_prompt,suffixed_prompt,source_a_image_path,source_b_image_path,source_a_sample_id,source_b_sample_id,source_a_margin,source_b_margin,circle_lambda,theta,seed,num_inference_steps,guidance_scale,split_ratio,batch_size,latent_noise_std
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0000.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0025319.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024517.jpg,ISIC_0025319,ISIC_0024517,0.1103724837303161,-0.0329854488372802,3.5770817234988397,1.5627906322479248,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0001.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032203.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028763.jpg,ISIC_0032203,ISIC_0028763,-0.1179068088531494,0.1289794445037841,2.9569522564276305,1.5775505304336548,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0002.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030387.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029462.jpg,ISIC_0030387,ISIC_0029462,0.0356027483940124,0.0259409546852111,0.6270200424535425,1.5576982498168945,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0003.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029567.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029371.jpg,ISIC_0029567,ISIC_0029371,0.0228070616722106,-0.018947958946228,1.123153409341649,1.5762110948562622,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0004.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028763.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028132.jpg,ISIC_0028763,ISIC_0028132,0.1289794445037841,-0.0347254276275634,0.8513363994899364,1.554526686668396,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0000.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028335.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028990.jpg,ISIC_0028335,ISIC_0028990,0.1169366240501403,0.1255248785018921,1.3775990780966898,1.5638660192489624,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0001.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0024707.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026362.jpg,ISIC_0024707,ISIC_0026362,0.0877667069435119,-0.0003144741058349,2.767145976653652,1.5610567331314087,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0002.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0033536.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029141.jpg,ISIC_0033536,ISIC_0029141,0.0945623517036438,0.0808208584785461,3.39058786998883,1.5805546045303345,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0003.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0033811.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024654.jpg,ISIC_0033811,ISIC_0024654,-0.0496808886528015,-0.0531648397445678,1.9938573183610098,1.5926810503005981,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BKL_0004.png,AKIEC,BKL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026362.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026171.jpg,ISIC_0026362,ISIC_0026171,-0.0003144741058349,0.0500617027282714,1.0101255811150935,1.5620249509811401,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0000.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030408.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024946.jpg,ISIC_0030408,ISIC_0024946,0.115879476070404,0.2110769748687744,3.6040200964719094,1.5832685232162476,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0001.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026388.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028517.jpg,ISIC_0026388,ISIC_0028517,0.2437915205955505,-0.0115032196044921,0.20337434426157158,1.56941556930542,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0002.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031922.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025182.jpg,ISIC_0031922,ISIC_0025182,0.2226098775863647,0.1131113767623901,2.577564066640061,1.546160101890564,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0003.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031578.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030826.jpg,ISIC_0031578,ISIC_0030826,0.2863304615020752,0.2574142813682556,3.3323426457627483,1.563749074935913,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_DF_0004.png,AKIEC,DF,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026702.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0031044.jpg,ISIC_0026702,ISIC_0031044,0.2762678861618042,0.2222226858139038,0.17471971175937068,1.585426688194275,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0000.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026857.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030602.jpg,ISIC_0026857,ISIC_0030602,0.095697283744812,0.0588205456733703,1.3565435987341008,1.5449540615081787,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0001.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030280.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025577.jpg,ISIC_0030280,ISIC_0025577,0.1033716201782226,0.1482276320457458,0.5192011982483594,1.583132266998291,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0002.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0027753.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024418.jpg,ISIC_0027753,ISIC_0024418,0.0764415264129638,-0.0761671066284179,3.9190519185132757,1.5708523988723755,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0003.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031852.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0032329.jpg,ISIC_0031852,ISIC_0032329,0.0222151279449462,0.2518965005874634,0.6456920344734876,1.5723432302474976,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0004.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028231.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030191.jpg,ISIC_0028231,ISIC_0030191,0.099362313747406,0.0878820419311523,1.7644400070096806,1.5733798742294312,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0000.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031154.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0033979.jpg,ISIC_0031154,ISIC_0033979,0.0052418708801269,-0.0376721024513244,2.7946611561632566,1.5865391492843628,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0001.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026687.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027337.jpg,ISIC_0026687,ISIC_0027337,-0.0169166922569274,0.096842348575592,2.2858283617366517,1.541796326637268,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0002.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030644.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026845.jpg,ISIC_0030644,ISIC_0026845,0.0169578790664672,-0.0538793802261352,0.4509677451931613,1.558701992034912,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0003.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028688.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028964.jpg,ISIC_0028688,ISIC_0028964,-0.0791296958923339,0.0333669185638427,3.916179550422819,1.5162558555603027,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0004.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026845.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027046.jpg,ISIC_0026845,ISIC_0027046,-0.0538793802261352,0.0172712206840515,2.8206216632953414,1.5393075942993164,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_BKL_0000.png,BCC,BKL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0024515.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030782.jpg,ISIC_0024515,ISIC_0030782,0.2940273284912109,0.3408516049385071,0.6000683333605638,1.5607150793075562,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_BKL_0001.png,BCC,BKL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032139.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029341.jpg,ISIC_0032139,ISIC_0029341,0.2138182520866394,0.0156769156455993,0.14556262954106255,1.5551482439041138,42,100,5.0,0.3,32,0.0
