index,sample_id,image_path,true_label_idx,true_label_name,pred_label_idx,pred_label_name,is_correct,confidence,distance_to_true_center,nearest_wrong_class_idx,nearest_wrong_class_name,distance_to_nearest_wrong_center,distance_margin,distance_to_MEL,distance_to_NV,distance_to_BCC,distance_to_AKIEC,distance_to_BKL,distance_to_DF,distance_to_VASC,rank_global,rank_in_true_class
9882,ISIC_0034188,,0,MEL,6,VASC,False,0.5574190020561218,0.9499652981758118,6,VASC,0.7433319687843323,-0.2066333293914795,0.9499652981758118,0.9605923891067505,1.061265468597412,1.0444968938827515,1.0078129768371582,0.958197832107544,0.7433319687843323,11,1
6880,ISIC_0031186,,0,MEL,3,AKIEC,False,0.7048096060752869,0.8407028317451477,3,AKIEC,0.637293815612793,-0.20340901613235474,0.8407028317451477,1.0827908515930176,0.9839487075805664,0.637293815612793,0.7948520183563232,0.8682476282119751,1.1224256753921509,15,2
9118,ISIC_0033424,,0,MEL,3,AKIEC,False,0.571100115776062,0.81328284740448,3,AKIEC,0.6578150391578674,-0.15546780824661255,0.81328284740448,1.0236420631408691,0.7672153115272522,0.6578150391578674,0.7937876582145691,0.6933695077896118,1.0279115438461304,52,3
815,ISIC_0025121,,0,MEL,0,MEL,True,0.7749078869819641,1.0339131355285645,6,VASC,0.8804275393486023,-0.15348559617996216,1.0339131355285645,1.09157133102417,1.160386085510254,1.0966306924819946,1.0626477003097534,1.1192735433578491,0.8804275393486023,55,4
8966,ISIC_0033272,,0,MEL,3,AKIEC,False,0.47943314909935,0.953019917011261,3,AKIEC,0.8104153275489807,-0.14260458946228027,0.953019917011261,1.092976689338684,1.0984327793121338,0.8104153275489807,0.867816686630249,0.9325183033943176,1.1529057025909424,68,5
1218,ISIC_0025524,,0,MEL,0,MEL,True,0.7006546854972839,0.9682389497756958,6,VASC,0.8331519961357117,-0.13508695363998413,0.9682389497756958,1.0969645977020264,1.1185433864593506,1.0363346338272095,0.972471296787262,1.0224813222885132,0.8331519961357117,78,6
9446,ISIC_0033752,,0,MEL,3,AKIEC,False,0.6432982087135315,0.7718185186386108,3,AKIEC,0.6369410157203674,-0.1348775029182434,0.7718185186386108,0.9884509444236755,0.8414101600646973,0.6369410157203674,0.7441496253013611,0.7437440752983093,1.0351877212524414,80,7
5579,ISIC_0029885,,0,MEL,3,AKIEC,False,0.31275129318237305,0.9401267766952515,5,DF,0.8149006366729736,-0.12522614002227783,0.9401267766952515,1.0584421157836914,0.9900830388069153,0.872991144657135,0.9476368427276611,0.8149006366729736,1.1494741439819336,99,8
2517,ISIC_0026823,,0,MEL,3,AKIEC,False,0.6921359896659851,0.8805591464042664,3,AKIEC,0.759283721446991,-0.12127542495727539,0.8805591464042664,1.0108858346939087,1.059822678565979,0.759283721446991,0.8881199955940247,0.9617851376533508,1.1435874700546265,114,9
1657,ISIC_0025963,,0,MEL,0,MEL,True,0.6837591528892517,1.0547865629196167,6,VASC,0.9471060037612915,-0.1076805591583252,1.0547865629196167,1.0949344635009766,1.167924404144287,1.1204261779785156,1.06621253490448,1.1398388147354126,0.9471060037612915,172,10
