index,sample_id,image_path,true_label_idx,true_label_name,pred_label_idx,pred_label_name,is_correct,confidence,distance_to_true_center,nearest_wrong_class_idx,nearest_wrong_class_name,distance_to_nearest_wrong_center,distance_margin,distance_to_MEL,distance_to_NV,distance_to_BCC,distance_to_AKIEC,distance_to_BKL,distance_to_DF,distance_to_VASC,rank_global,rank_in_true_class,x,y
0,ISIC_0024306,,1,NV,1,NV,True,0.9640570282936096,0.7844550609588623,0,MEL,0.9956448078155518,0.21118974685668945,0.9956448078155518,0.7844550609588623,1.1824854612350464,1.1891049146652222,1.1695767641067505,1.0879524946212769,1.142764687538147,7763,5215,-50.941563,9.738225
1,ISIC_0024307,,1,NV,1,NV,True,0.9676008820533752,0.8796177506446838,0,MEL,1.1335352659225464,0.25391751527786255,1.1335352659225464,0.8796177506446838,1.2208107709884644,1.248549461364746,1.2211716175079346,1.1410624980926514,1.1616822481155396,9123,6224,-50.516666,36.223064
2,ISIC_0024308,,1,NV,1,NV,True,0.9731013774871826,0.8775280714035034,0,MEL,1.1129883527755737,0.2354602813720703,1.1129883527755737,0.8775280714035034,1.2494367361068726,1.2527908086776733,1.2021913528442383,1.155640721321106,1.1656768321990967,8611,5827,-44.612785,-0.40220118
3,ISIC_0024309,,1,NV,1,NV,True,0.858779788017273,0.9099153280258179,5,DF,1.0142849683761597,0.1043696403503418,1.0395194292068481,0.9099153280258179,1.072034239768982,1.1673157215118408,1.120245099067688,1.0142849683761597,1.1002154350280762,4011,2832,-25.946402,23.231226
4,ISIC_0024310,,0,MEL,0,MEL,True,0.9865308403968811,0.5802438259124756,1,NV,0.8219111561775208,0.24166733026504517,0.5802438259124756,0.8219111561775208,0.9969936609268188,0.9363439083099365,0.8931037187576294,0.8559490442276001,1.1193294525146484,8771,1001,47.47113,2.7522743
5,ISIC_0024311,,1,NV,1,NV,True,0.9910396933555603,0.782539427280426,0,MEL,1.0420129299163818,0.2594735026359558,1.0420129299163818,0.782539427280426,1.1761579513549805,1.1978172063827515,1.1320841312408447,1.0827730894088745,1.1316099166870117,9274,6335,-58.74573,1.0499043
6,ISIC_0024312,,4,BKL,4,BKL,True,0.6372204422950745,0.7834923267364502,2,BCC,0.7674771547317505,-0.016015172004699707,0.8934281468391418,1.0817711353302002,0.7674771547317505,0.8004666566848755,0.7834923267364502,0.8038312792778015,1.08230721950531,768,91,77.86617,4.5435796
7,ISIC_0024313,,0,MEL,0,MEL,True,0.8950255513191223,0.7577893137931824,1,NV,0.9255912899971008,0.16780197620391846,0.7577893137931824,0.9255912899971008,1.0218884944915771,1.045530915260315,1.068947434425354,1.0160915851593018,1.1366276741027832,6238,599,41.90884,-21.11987
8,ISIC_0024314,,1,NV,1,NV,True,0.7921518087387085,0.8378109931945801,0,MEL,0.8624858856201172,0.02467489242553711,0.8624858856201172,0.8378109931945801,0.9822919964790344,1.0228395462036133,0.8867576122283936,0.865381121635437,1.0189443826675415,1611,1148,9.016432,22.44
9,ISIC_0024315,,0,MEL,0,MEL,True,0.9757595658302307,0.678432285785675,4,BKL,0.9309569001197815,0.25252461433410645,0.678432285785675,0.9469767808914185,0.9465420246124268,1.0307587385177612,0.9309569001197815,0.958568811416626,1.124176263809204,9077,1032,44.35177,-15.199243
10,ISIC_0024316,,1,NV,1,NV,True,0.976545512676239,0.8755833506584167,0,MEL,1.1043031215667725,0.2287197709083557,1.1043031215667725,0.8755833506584167,1.2199952602386475,1.2217762470245361,1.1950222253799438,1.1291266679763794,1.1873598098754883,8391,5660,-60.39943,9.531678
11,ISIC_0024317,,1,NV,1,NV,True,0.9234164953231812,0.7290182709693909,0,MEL,0.6849713921546936,-0.044046878814697266,0.6849713921546936,0.7290182709693909,1.0966943502426147,1.0330179929733276,0.9196886420249939,0.8874020576477051,1.1462790966033936,436,265,4.482364,2.3145483
12,ISIC_0024318,,5,DF,4,BKL,False,0.33627521991729736,0.8317347168922424,4,BKL,0.9372830986976624,0.10554838180541992,1.0451620817184448,1.0779858827590942,1.0677086114883423,0.9726669192314148,0.9372830986976624,0.8317347168922424,1.1455717086791992,4057,92,65.087135,15.632812
13,ISIC_0024319,,1,NV,1,NV,True,0.921343207359314,0.8639963865280151,0,MEL,0.8780231475830078,0.014026761054992676,0.8780231475830078,0.8639963865280151,1.0545488595962524,1.1169548034667969,1.012359380722046,0.9612600803375244,1.1186455488204956,1362,954,-5.4337144,-7.271111
14,ISIC_0024320,,1,NV,1,NV,True,0.9660032391548157,0.9361174702644348,0,MEL,1.1135423183441162,0.1774248480796814,1.1135423183441162,0.9361174702644348,1.2207236289978027,1.239702820777893,1.204992651939392,1.1435540914535522,1.1947916746139526,6573,4432,-28.965265,55.151062
