output_path,true_label_name,nearest_wrong_class_name,plain_prompt,suffixed_prompt,source_a_image_path,source_b_image_path,source_a_sample_id,source_b_sample_id,source_a_margin,source_b_margin,circle_lambda,theta,seed,num_inference_steps,guidance_scale,split_ratio,batch_size,latent_noise_std
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0000.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026100.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025247.jpg,ISIC_0026100,ISIC_0025247,0.1488124132156372,-0.0299782752990722,3.6914458752516315,1.5738027095794678,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0001.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032203.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0031692.jpg,ISIC_0032203,ISIC_0031692,-0.1576224565505981,0.1920420527458191,0.4700117239827929,1.5505255460739136,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0002.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029043.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0033869.jpg,ISIC_0029043,ISIC_0033869,0.0253339409828186,0.0143100619316101,2.452731032471923,1.5685267448425293,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0003.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0027294.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028132.jpg,ISIC_0027294,ISIC_0028132,0.0116270780563354,-0.023166000843048,0.223633293801004,1.546080231666565,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0004.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031692.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024517.jpg,ISIC_0031692,ISIC_0024517,0.1920420527458191,-0.0374742150306701,2.6652480687213873,1.5702483654022217,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0005.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032014.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0031692.jpg,ISIC_0032014,ISIC_0031692,0.1522223949432373,0.1920420527458191,2.6500122096156122,1.5602437257766724,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0006.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029860.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029371.jpg,ISIC_0029860,ISIC_0029371,0.139904499053955,-0.0456832647323608,0.7101669290363712,1.554023027420044,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0007.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029598.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029210.jpg,ISIC_0029598,ISIC_0029210,0.1429506540298462,0.1033224463462829,0.05121857125120795,1.5536623001098633,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0008.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0024925.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0032203.jpg,ISIC_0024925,ISIC_0032203,-0.1204268932342529,-0.1576224565505981,0.5613976773025785,1.5356799364089966,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0009.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029371.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026927.jpg,ISIC_0029371,ISIC_0026927,-0.0456832647323608,0.0063186883926391,0.04510956256347893,1.580993890762329,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0010.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0027294.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024463.jpg,ISIC_0027294,ISIC_0024463,0.0116270780563354,0.1320632100105285,1.998182324498968,1.5609458684921265,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0011.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031119.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0032203.jpg,ISIC_0031119,ISIC_0032203,0.1431421637535095,-0.1576224565505981,1.3965511201982383,1.5598516464233398,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0012.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030344.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029362.jpg,ISIC_0030344,ISIC_0029362,0.1411114931106567,-0.0072032213211059,2.089187681208927,1.555536150932312,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0013.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030591.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030825.jpg,ISIC_0030591,ISIC_0030825,0.1811317205429077,0.1497039198875427,3.3252115465051855,1.5541757345199585,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0014.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029462.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029860.jpg,ISIC_0029462,ISIC_0029860,0.1659523248672485,0.139904499053955,1.0647804994148427,1.52979576587677,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0015.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030375.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027294.jpg,ISIC_0030375,ISIC_0027294,0.1022112369537353,0.0116270780563354,1.4836239380328748,1.5748765468597412,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0016.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028763.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029598.jpg,ISIC_0028763,ISIC_0029598,0.1211702227592468,0.1429506540298462,2.9895890777838496,1.5757964849472046,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0017.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029043.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025471.jpg,ISIC_0029043,ISIC_0025471,0.0253339409828186,-0.2212377786636352,3.535201855537551,1.5524181127548218,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0018.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029500.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026132.jpg,ISIC_0029500,ISIC_0026132,0.2070955038070678,-0.0213268995285034,2.9478863125670234,1.5621944665908813,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0019.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029462.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029210.jpg,ISIC_0029462,ISIC_0029210,0.1659523248672485,0.1033224463462829,0.48051696297962965,1.5436962842941284,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0020.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030191.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029043.jpg,ISIC_0030191,ISIC_0029043,0.0600736141204834,0.0253339409828186,3.6037193024675647,1.5689963102340698,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_BCC_0021.png,AKIEC,BCC,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031506.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026927.jpg,ISIC_0031506,ISIC_0026927,-0.0216168165206909,0.0063186883926391,1.3326555375848095,1.579505205154419,42,100,5.0,0.3,32,0.0
